list_time,area,area_name,price,price_string,rooms,property_legal_document,property_road_condition,property_back_condition,size,ward,ward_name,toilets,floors,house_type,furnishing_sell,longitude,latitude,street_id,width,projectid,price_m2
26 October 2021,81,Quận Long Biên,6400000000,"6,4 tỷ",4.0,1.0,0.0,0.0,45.0,106,Phường Bồ Đề,4.0,5.0,4.0,1.0,105.74057,20.91461,1108.0,4.0,0.0,142222222.2222222
26 October 2021,78,Quận Tây Hồ,4000000000,4 tỷ,4.0,1.0,0.0,1.0,48.0,161,Phường Thụy Khuê,4.0,5.0,3.0,2.0,105.82095,21.04344,757.0,5.0,0.0,83333333.33333333
22 November 2021,86,Quận Hà Đông,1450000000,"1,45 tỷ",3.0,1.0,1.0,0.0,31.0,26,Phường Biên Giang,2.0,3.0,1.0,3.0,105.81381125871053,21.010090290259843,1740.0,4.0,0.0,46774193.548387095
26 October 2021,76,Quận Hai Bà Trưng,3450000000,"3,45 tỷ",3.0,1.0,0.0,0.0,35.0,81,Phường Minh Khai,3.0,4.467237714043407,3.0,4.0,105.77833,20.97145,555.0,4.0,0.0,98571428.57142857
26 October 2021,77,Quận Thanh Xuân,5400000000,"5,4 tỷ",4.0,1.0,1.0,1.0,44.0,70,Phường Khương Đình,3.0,4.0,3.0,2.0,105.78582,20.96151,657.0,4.0,0.0,122727272.72727273
26 October 2021,76,Quận Hai Bà Trưng,3400000000,"3,4 tỷ",3.0,1.0,1.0,0.0,35.0,81,Phường Minh Khai,4.0,5.0,3.0,4.0,105.6517,21.0782,527.0,4.0,0.0,97142857.14285715
26 October 2021,79,Quận Cầu Giấy,4700000000,"4,7 tỷ",3.0,1.0,1.0,0.0,35.0,146,Phường Quan Hoa,3.0,4.467237714043407,3.0,4.0,105.79589,21.0344,797.0,4.0,0.0,134285714.2857143
26 October 2021,81,Quận Long Biên,3300000000,"3,3 tỷ",3.0,1.0,1.0,0.0,35.0,99,Phường Ngọc Thụy,4.0,4.467237714043407,3.0,4.0,105.87014,21.05729,0.0,4.591384987893445,0.0,94285714.28571428
26 October 2021,77,Quận Thanh Xuân,9800000000,"9,8 tỷ",5.0,1.0,0.0,1.0,56.0,75,Phường Khương Mai,6.0,4.467237714043407,4.0,1.0,105.80356,20.99809,680.0,4.591384987893445,0.0,175000000.0
22 November 2021,81,Quận Long Biên,2350000000,"2,35 tỷ",3.0,1.0,1.0,1.0,31.0,102,Phường Cự Khối,3.0,4.467237714043407,3.0,2.0,105.89582,21.02164,0.0,4.591384987893445,0.0,75806451.61290322
26 October 2021,79,Quận Cầu Giấy,3700000000,"3,7 tỷ",4.0,0.0,0.0,0.0,42.0,149,Phường Yên Hoà,3.762751202943674,4.467237714043407,3.0,4.0,105.79845,21.02668,927.0,4.0,0.0,88095238.09523809
26 October 2021,89,Huyện Hoài Đức,1950000000,"1,95 tỷ",3.0,1.0,1.0,1.0,34.0,1,Xã La Phù,3.0,3.0,3.0,2.0,105.73,20.98254,0.0,4.591384987893445,0.0,57352941.176470585
26 October 2021,129,Quận Bắc Từ Liêm,4850000000,"4,85 tỷ",4.0,0.0,0.0,0.0,62.0,36,Phường Phú Diễn,3.0,3.0,1.0,4.0,105.76359,21.05034,2652.0,4.591384987893445,0.0,78225806.4516129
26 October 2021,86,Quận Hà Đông,4300000000,"4,3 tỷ",3.0,1.0,0.0,0.0,40.0,28,Phường Quang Trung,3.0,5.0,1.0,1.0,105.75507,20.95494,1869.0,5.5,0.0,107500000.0
26 October 2021,80,Quận Hoàng Mai,4500000000,"4,5 tỷ",4.0,0.0,0.0,0.0,48.0,56,Phường Hoàng Liệt,3.0,4.467237714043407,3.0,4.0,105.84396,20.9411,994.0,4.0,0.0,93750000.0
26 October 2021,79,Quận Cầu Giấy,4400000000,"4,4 tỷ",3.0,0.0,0.0,0.0,33.0,150,Phường Dịch Vọng Hậu,3.762751202943674,4.467237714043407,3.0,4.0,105.79103,21.03381,879.0,4.591384987893445,0.0,133333333.33333333
26 October 2021,80,Quận Hoàng Mai,3100000000,"3,1 tỷ",3.0,1.0,0.0,0.0,33.0,58,Phường Tân Mai,4.0,5.0,1.0,3.0,105.80023,21.00072,999.0,4.591384987893445,0.0,93939393.93939394
15 November 2021,81,Quận Long Biên,3450000000,"3,45 tỷ",5.0,1.0,0.0,0.0,41.0,112,Phường Thượng Thanh,4.0,4.0,3.0,4.0,105.83245,20.99953,1430.0,4.5,0.0,84146341.46341464
26 October 2021,86,Quận Hà Đông,4050000000,"4,05 tỷ",3.0,1.0,1.0,0.0,50.0,25,Phường Hà Cầu,3.0,3.0,3.0,4.0,105.77967,20.96845,1895.0,3.0,0.0,81000000.0
26 October 2021,121,Quận Nam Từ Liêm,3750000000,"3,75 tỷ",4.0,1.0,0.0,0.0,30.0,61,Phường Mỹ Đình 1,5.0,6.0,3.0,2.0,105.77587,21.01836,2243.0,5.0,0.0,125000000.0
30 October 2021,86,Quận Hà Đông,14400000000,"14,4 tỷ",5.0,1.0,0.0,0.0,98.0,28,Phường Quang Trung,5.0,4.467237714043407,1.0,1.0,105.76865,20.96193,1935.0,4.591384987893445,0.0,146938775.51020408
26 October 2021,81,Quận Long Biên,4800000000,"4,8 tỷ",4.0,1.0,1.0,1.0,40.0,103,Phường Long Biên,4.0,4.467237714043407,1.0,1.0,105.89638,21.02701,1113.0,4.591384987893445,0.0,120000000.0
03 November 2021,77,Quận Thanh Xuân,3600000000,"3,6 tỷ",5.0,1.0,0.0,0.0,40.0,77,Phường Khương Trung,4.0,5.0,3.0,4.0,105.81381125871053,21.010090290259843,701.0,4.0,0.0,90000000.0
04 November 2021,129,Quận Bắc Từ Liêm,5200000000,"5,2 tỷ",2.0,1.0,1.0,0.0,55.0,36,Phường Phú Diễn,2.0,1.0,3.0,2.0,105.76359,21.05034,2652.0,5.0,0.0,94545454.54545455
26 October 2021,89,Huyện Hoài Đức,1510000000,"1,51 tỷ",3.0,1.0,0.0,0.0,33.0,1,Xã La Phù,3.0,3.0,3.0,1.0,105.7472,20.97715,2055.0,4.591384987893445,0.0,45757575.75757576
26 October 2021,75,Quận Đống Đa,9000000000,9 tỷ,6.0,0.0,0.0,0.0,70.0,124,Phường Ô Chợ Dừa,5.0,4.467237714043407,1.0,4.0,105.82589,21.02097,416.0,4.591384987893445,0.0,128571428.57142857
26 October 2021,79,Quận Cầu Giấy,4500000000,"4,5 tỷ",5.0,1.0,1.0,1.0,40.0,149,Phường Yên Hoà,4.0,5.0,3.0,4.0,105.79945,21.02238,0.0,5.0,0.0,112500000.0
26 October 2021,77,Quận Thanh Xuân,4950000000,"4,95 tỷ",3.0,0.0,0.0,0.0,47.0,72,Phường Nhân Chính,3.0,4.467237714043407,1.0,4.0,105.81381125871053,21.010090290259843,682.0,4.591384987893445,0.0,105319148.9361702
